Amy Friend,Merijean Morrissey
Linda Carreiro (Associate Dean & Director of MIWSFPA),"Amanda Burk, Keri Cronin (Associate Dean, Research and Graduate Studies-Faculty of Humanities), Amy Friend, Derek Knight, Murray Kropf, Linda Steer, Donna Szoke"
Troy David Ouellette,"Donna Akrey, Gustavo Cerquera, Grace Channer, Elysia French, Max Holten-Andersen, Arnold McBay, Kristin Patterson, Kate Schneider, Christina Sealey, Denise St Marie, Bruce Thompson, Tracy Van Oosten, Timothy Walker, Tobias Wiegand"
Max Holten-Andersen,Arnold McBay
Michael Gicante,Monika Lederich
Marilyn I. Walker 328,brocku.ca/visualarts
"Visual Arts facilities include a computer commons with access to digital editing, printers, scanners and equipment lending kiosk. The facilities also include painting, drawing, foundation studios, a wood working shop, an art store, a digital media lab, a photography lab/darkroom, a digital printer lab and a gallery. Studio facilities are provided for 4F06 Honours Students.",* Indicates primary offering of a cross listed course
VISA 1P20,Investigating Photography
"Photography as fine art medium emphasizing visual aesthetics and concept development. Historical and contemporary work, and concepts in photography will support studio discussions and processes. Critical analysis and photo theory.","Lectures, lab, 5 hours per week; field trips."
VISA 1P93,Introduction to Drawing
"Fundamental principles of drawing. Analytic, creative and graphic notation.","Lectures, studio work, 5 hours per week."
Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors.,"Note: materials fee required. Students may need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 1P94,Figure Drawing
Fundamentals of drawing the figure anatomically and expressively.,"Lectures, studio work, 5 hours per week."
Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors.,"Note: materials fee required. Students may need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*VISA 1P95,Digital Foundation
